topic,description,region,category,subcategory,source
Dhrupad,"Ancient classical vocal music form emphasizing precision in note rendering, systematic development, and spiritual expression with minimal ornamentation.",North India,Performing Arts,Music,Sangeet Natak Akademi
Sohrai Art,Tribal wall painting tradition from Jharkhand created by women during harvest festival using natural pigments to depict animals and nature motifs.,Jharkhand,Art Form,Folk Art,National Crafts Museum
Vat Savitri,"Women's ritual of tying threads around banyan trees while fasting and praying for their husbands' longevity, based on the legend of Savitri and Satyavan.",Maharashtra,Festival,Women's Ritual,Anthropological Survey of India
Ottamthullal,"Satirical dance-drama form created by poet Kunchan Nambiar as social commentary, featuring solo performer in colorful costume with rhythmic movements.",Kerala,Performing Arts,Dance Drama,Kerala Tourism Department
Lohri,"Winter folk festival celebrating the harvest and winter solstice with bonfire, singing, dancing, and offering sesame seeds, jaggery, and popcorn to fire.",Punjab,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Mudiyettu,"Ritual theater performance from Kerala dedicated to Goddess Kali, featuring elaborate face painting, costumes, and choreographed combat sequences.",Kerala,Performing Arts,Ritual Theater,Kerala Tourism Department
Pattachitra,"Traditional cloth-based scroll painting from Odisha featuring intricate mythological narratives, using natural colors and detailed ornamentation.",Odisha,Art Form,Traditional Craft,National Crafts Museum
Pitru Paksha,"Sixteen-day period dedicated to honoring ancestors through food offerings, prayers, and rituals performed at sacred rivers or temples.",Pan-India,Ritual,Ancestral Ritual,Anthropological Survey of India
Lavani,"Powerful women's dance form from Maharashtra combining sensual movements with folk songs addressing social issues, romance, and seasonal themes.",Maharashtra,Performing Arts,Folk Dance,Sangeet Natak Akademi
Phad Painting,Scroll painting tradition from Rajasthan depicting heroic folk tales and legends on long cloth scrolls used by traveling bards during performances.,Rajasthan,Art Form,Traditional Craft,National Crafts Museum
Raja Parba,"Three-day festival in Odisha celebrating Mother Earth's menstruation, during which agricultural work stops and women enjoy swings and special foods.",Odisha,Festival,Women's Ritual,Anthropological Survey of India
Koodiyattam,"Ancient Sanskrit theater tradition from Kerala recognized by UNESCO as Intangible Cultural Heritage, featuring elaborate eye movements and hand gestures.",Kerala,Performing Arts,Theater,Kerala Tourism Department
Karwa Chauth,"Festival observed by married women who fast from sunrise to moonrise for the wellbeing and longevity of their husbands, breaking fast only after sighting the moon through a sieve.",North India,Festival,Women's Ritual,"Ministry of Culture, Government of India"
Bharatanatyam Arangetram,"Traditional debut performance of a Bharatanatyam dancer after completing years of training, marking the transition from student to performer with a full-length solo recital.",Tamil Nadu,Performing Arts,Dance Ceremony,Sangeet Natak Akademi
Ajanta Caves,"Ancient rock-cut Buddhist cave monuments dating from the 2nd century BCE, featuring elaborate paintings and sculptures depicting Buddhist teachings and Jataka tales.",Maharashtra,Architecture,Buddhist Monument,Archaeological Survey of India
Phulkari Embroidery,Traditional embroidery technique from Punjab using bright colored threads to create geometric patterns and floral designs on shawls and garments for special occasions.,Punjab,Art Form,Traditional Craft,National Crafts Museum
Navreh,"Kashmiri Pandit New Year celebration featuring ritual viewing of a thali containing rice, yogurt, salt, and other auspicious items first thing in the morning.",Kashmir,Festival,Spring Festival,Anthropological Survey of India
Kathakali Makeup,Elaborate facial makeup process for Kathakali performers using natural pigments and rice paste to create character-specific designs that can take 3-4 hours to apply.,Kerala,Performing Arts,Theater Tradition,Kerala Tourism Department
Bhai Dooj,"Festival celebrating the bond between brothers and sisters, where sisters apply tilak on brothers' foreheads, pray for their wellbeing, and exchange gifts.",North India,Festival,Family Festival,"Ministry of Culture, Government of India"
Kalaripayattu Training,"Structured martial arts education system progressing through body control, wooden weapons, metal weapons, and finally weaponless combat techniques.",Kerala,Performing Arts,Martial Art,Kerala Tourism Department
Baul Singing,Mystical minstrel tradition from Bengal combining elements of Vaishnavism and Sufism through wandering singers who spread spiritual messages through songs.,West Bengal,Performing Arts,Music,Sangeet Natak Akademi
Pongal Kolam,"Intricate geometric patterns drawn with rice flour at home entrances during Pongal festival, featuring symbols of sun and harvest prosperity.",Tamil Nadu,Art Form,Folk Art,National Crafts Museum
Bihu Dance,"Energetic folk dance from Assam performed during Bihu festival, characterized by rapid hip movements, hand gestures, and colorful traditional attire.",Assam,Performing Arts,Folk Dance,Sangeet Natak Akademi
Mohiniyattam,"Classical dance form from Kerala known as the 'dance of the enchantress,' characterized by graceful, swaying movements and white and gold costumes.",Kerala,Performing Arts,Dance,Sangeet Natak Akademi
Navaratri Golu,"Traditional display of dolls and figurines arranged on odd-numbered steps during Navaratri, depicting mythology, culture, and everyday life scenes.",Tamil Nadu,Festival,Religious Festival,"Ministry of Culture, Government of India"
Ghoomar,"Traditional Rajasthani folk dance performed by women in flowing ghagra skirts moving in circular formations, originally associated with the Bhil tribe.",Rajasthan,Performing Arts,Dance,Sangeet Natak Akademi
Bhangra,"Energetic harvest dance from Punjab performed to the rhythm of the dhol drum, featuring high jumps, shoulder shakes, and colorful attire.",Punjab,Performing Arts,Folk Dance,Sangeet Natak Akademi
Bharat Mata Worship,"Nationalist tradition of worshipping India personified as a mother goddess, featuring temples dedicated to Bharat Mata with relief maps of undivided India.",Pan-India,Ritual,Nationalist Ritual,Anthropological Survey of India
Kalbelia Dance,"Traditional dance form of the Kalbelia snake-charmer community from Rajasthan, featuring swirling black skirts mimicking serpent movements.",Rajasthan,Performing Arts,Folk Dance,Sangeet Natak Akademi
Kutiyattam,"Sanskrit theater tradition from Kerala recognized by UNESCO as Intangible Cultural Heritage, featuring elaborate eye movements and hand gestures.",Kerala,Performing Arts,Theater,Kerala Tourism Department
Ram Navami,"Festival celebrating the birth of Lord Rama, the seventh incarnation of Lord Vishnu, featuring fasting, prayers, recitation of the Ramayana, and processions with idols of Rama, Sita, and Hanuman.",Pan-India,Festival,Religious Festival,"Ministry of Culture, Government of India"
Vaisakhi,"Harvest festival marking the Sikh New Year and formation of the Khalsa, celebrated with processions, bhangra dancing, and community meals, while also considered auspicious for new beginnings by Hindus.",Punjab,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Vinayaka Chaturthi,"Festival honoring Lord Ganesha's birth with installation of clay idols in homes and public spaces, prayers, devotional music, offerings of sweets, and culminating in idol immersion ceremonies.",Maharashtra,Festival,Religious Festival,"Ministry of Culture, Government of India"
Dussehra,"Ten-day festival celebrating Lord Rama's victory over demon king Ravana, featuring Ramlila performances, processions, and culminating in the burning of large effigies of Ravana, Meghnath, and Kumbhakarna.",Pan-India,Festival,Religious Festival,"Ministry of Culture, Government of India"
Maha Shivratri,"Night festival dedicated to Lord Shiva, observed with all-night vigils, fasting, temple worship, abhishekam (ritual bathing of the lingam), and offerings of bel leaves and milk.",Pan-India,Festival,Religious Festival,"Ministry of Culture, Government of India"
Basant Panchami,"Festival marking the arrival of spring and honoring Goddess Saraswati, the deity of knowledge and arts. People wear yellow clothes, prepare yellow dishes, and students place books and instruments before the goddess for blessing.",North India,Festival,Spring Festival,"Ministry of Culture, Government of India"
Vedic Chanting,"Ancient oral tradition of reciting Vedic texts using precise pronunciation, pitch, duration, and specific hand gestures to preserve the integrity of sacred knowledge across generations.",Pan-India,Knowledge System,Oral Tradition,Sahitya Akademi
Ramlila,"Traditional performance art depicting episodes from the Ramayana epic, performed annually during Dussehra with elaborate costumes, dialogues, and music, often spanning several days.",North India,Performing Arts,Theater,Sangeet Natak Akademi
Yoga Philosophy,"Ancient spiritual discipline combining physical postures, breath control, meditation, and ethical principles to achieve harmony between mind, body, and spirit, codified in Patanjali's Yoga Sutras.",Pan-India,Spiritual Practice,Philosophy,"Ministry of AYUSH, Government of India"
Temple Worship Etiquette,"Traditional practices for temple visits including ritual bathing beforehand, removing footwear, circumambulating the shrine clockwise, and making offerings of flowers, fruits, and coconuts to deities.",Pan-India,Ritual,Temple Ritual,Anthropological Survey of India
Fasting Traditions,"Periodic abstinence from specific foods or all food for spiritual purification, expressing devotion, and seeking divine blessings, practiced during festivals, specific weekdays, or personal vows.",Pan-India,Ritual,Spiritual Practice,Anthropological Survey of India
Namaste Greeting,"Traditional greeting performed by joining palms in front of the chest with a slight bow, acknowledging the divine in others and showing respect without physical contact.",Pan-India,Custom,Greeting,"Ministry of Culture, Government of India"
Thangka Painting,"Tibetan Buddhist painting tradition adopted in Himalayan regions of India, featuring detailed depictions of deities, mandalas, and spiritual events on cotton or silk using natural pigments and gold leaf.",Ladakh,Art Form,Religious Art,National Crafts Museum
Bharatanatyam,"Classical dance form originating from Tamil Nadu, characterized by bent knees, precise footwork, expressive eyes, and hand gestures (mudras) that tell stories from Hindu mythology.",Tamil Nadu,Performing Arts,Dance,Sangeet Natak Akademi
Kathak,"Classical dance form from North India featuring intricate footwork, pirouettes, and graceful movements that blend Hindu and Islamic influences.",North India,Performing Arts,Dance,Sangeet Natak Akademi
Kathakali,"Classical dance-drama from Kerala characterized by elaborate costumes, face paintings, and stylized gestures to portray characters from Hindu epics.",Kerala,Performing Arts,Dance Drama,Kerala Tourism Department
Taj Mahal,"Iconic marble mausoleum in Agra built by Emperor Shah Jahan for his wife Mumtaz Mahal, representing the pinnacle of Mughal architecture and a symbol of eternal love.",Uttar Pradesh,Architecture,Mughal Monument,Archaeological Survey of India
Pola Festival,"Agricultural festival honoring bulls and oxen for their role in farming, featuring bull decoration, processions, and special treats for the animals.",Maharashtra,Festival,Harvest Festival,"Ministry of Culture, Government of India"
Cheraw Dance,"Traditional bamboo dance from Mizoram where dancers move between rhythmically clapped bamboo poles, requiring precise timing and coordination.",Mizoram,Performing Arts,Folk Dance,Sangeet Natak Akademi
Toda Embroidery,"Distinctive white-on-white embroidery created by the Toda tribe of Nilgiri Hills, featuring geometric patterns with red and black accents on shawls.",Tamil Nadu,Art Form,Tribal Craft,National Crafts Museum
Hornbill Festival,"Annual cultural showcase celebrating the heritage of Nagaland's 16 tribes through traditional performances, crafts, sports, and food.",Nagaland,Festival,Cultural Festival,North East Zone Cultural Centre
Kantha Stitch,"Traditional running stitch embroidery from Bengal using old saris to create quilts, wall hangings, and garments with narrative and decorative motifs.",West Bengal,Art Form,Traditional Craft,National Crafts Museum
Pongala,Women's ritual in Kerala where millions of women prepare sweet rice porridge in earthen pots as offering to the Bhagavathy temple deity.,Kerala,Festival,Women's Ritual,Kerala Tourism Department
Gatka,"Traditional Sikh martial art form using wooden sticks to simulate swords, practiced as self-defense and during religious processions.",Punjab,Performing Arts,Martial Art,Sangeet Natak Akademi
Pattua Scroll Painting,"Narrative painting tradition from Bengal where artists create scrolls depicting mythological stories and social themes, singing as they unfurl them.",West Bengal,Art Form,Folk Art,National Crafts Museum
Losar,"Tibetan New Year celebration observed in Himalayan regions with prayer ceremonies, masked dances, and community feasting.",Ladakh,Festival,Spring Festival,Anthropological Survey of India
Bell Metal Craft,"Traditional metal craft from Assam creating utensils and decorative items using an alloy of copper and tin, known for distinctive sound quality.",Assam,Art Form,Traditional Craft,National Crafts Museum
Pachakam,"Kerala's traditional culinary practice emphasizing balanced flavors, medicinal properties, and seasonal ingredients in vegetarian and non-vegetarian dishes.",Kerala,Cuisine,Regional Cuisine,Kerala Tourism Department
Chhou Dance,"Martial dance form from eastern India combining elements of combat techniques with expressive storytelling, often performed with distinctive masks.",Jharkhand,Performing Arts,Dance Drama,Sangeet Natak Akademi
Dhokla Making,"Traditional Gujarati fermented food preparation technique using rice and chickpea flour, creating spongy, savory cakes with tempering.",Gujarat,Cuisine,Regional Cuisine,"Ministry of Tourism, Government of India"
Kalbelia Songs,"Traditional folk songs of the nomadic Kalbelia tribe of Rajasthan, recognized by UNESCO as Intangible Cultural Heritage.",Rajasthan,Performing Arts,Folk Music,Sangeet Natak Akademi
Phanek Weaving,"Traditional handloom technique from Manipur creating women's sarongs with distinctive borders and patterns, governed by strict cultural protocols.",Manipur,Art Form,Traditional Craft,National Crafts Museum
Bagh Print,Traditional hand-block printing technique using natural dyes and wooden blocks to create geometric and floral patterns on textiles.,Madhya Pradesh,Art Form,Traditional Craft,National Crafts Museum
Kanyakumari Temple,"Ancient coastal temple dedicated to Goddess Parvati as the virgin deity, featuring Dravidian architecture and maritime cultural significance.",Tamil Nadu,Architecture,Temple Architecture,Archaeological Survey of India
Kathi Dance,"Martial folk dance from Gujarat depicting scenes of battle and victory using swords and sticks, performed during festivals and celebrations.",Gujarat,Performing Arts,Folk Dance,Sangeet Natak Akademi
Panchaloha Idol Making,"Traditional metal casting technique using five sacred metals (gold, silver, copper, iron, and zinc) to create temple deities according to ancient texts.",Tamil Nadu,Art Form,Traditional Craft,National Crafts Museum
Ashtapadi,"Classical devotional compositions by poet Jayadeva describing Krishna and Radha's love, performed in Odissi dance and classical music.",Odisha,Literature,Devotional Poetry,Sahitya Akademi
Puli Kali,"Tiger dance performed during Onam festival in Kerala where performers paint their bodies as tigers and hunters, enacting playful hunting scenes.",Kerala,Performing Arts,Folk Dance,Kerala Tourism Department
Kani Tribe Medicine,"Traditional healing system of the Kani tribe using forest herbs and plants, with specialized knowledge passed down through generations.",Kerala,Traditional Medicine,Tribal Medicine,"Ministry of AYUSH, Government of India"
Ganga Aarti,"Evening ritual worship of River Ganges at Varanasi, Haridwar, and Rishikesh featuring synchronized rituals with lamps, flowers, and chanting.",Uttar Pradesh,Ritual,River Worship,Anthropological Survey of India
Uruli Kammal,"Traditional ear ornament from Kerala featuring large disc-shaped gold earrings that stretch the earlobe, symbolizing cultural identity.",Kerala,Art Form,Traditional Jewelry,National Crafts Museum
Bhavai,"Traditional folk theater form from Gujarat featuring balancing acts, storytelling, and social commentary, often performed on raised platforms.",Gujarat,Performing Arts,Folk Theater,Sangeet Natak Akademi
Sohrai Festival,"Tribal harvest festival celebrated after Diwali in Jharkhand, featuring cattle worship, wall paintings, and community dancing.",Jharkhand,Festival,Harvest Festival,Anthropological Survey of India
Naga Shawls,"Traditional handwoven shawls from Nagaland with tribe-specific patterns and motifs that denote social status, achievements, and tribal identity.",Nagaland,Art Form,Traditional Craft,National Crafts Museum
Lepcha Script,"Ancient writing system of the Lepcha tribe of Sikkim, one of the oldest scripts in the Himalayan region, used to document folk tales and traditions.",Sikkim,Language,Tribal Script,Sahitya Akademi
Sankranti Muggulu,"Elaborate floor designs created by women in Andhra Pradesh during Sankranti festival using rice flour, featuring geometric patterns and nature motifs.",Andhra Pradesh,Art Form,Folk Art,National Crafts Museum
Konyak Fire Making,"Traditional technique of the Konyak Naga tribe to create fire by friction using bamboo and wood, preserved as cultural heritage.",Nagaland,Traditional Knowledge,Survival Skill,Anthropological Survey of India
Jhumar Dance,"Folk dance from Punjab and Haryana performed by women during Teeyan festival, featuring circular formations and graceful movements.",Haryana,Performing Arts,Folk Dance,Sangeet Natak Akademi
Kodava Wedding,Distinctive marriage tradition of the Kodava community featuring unique rituals like bride wearing ancestral sword and ceremonial exchange of betel leaves.,Karnataka,Ritual,Life Cycle Ceremony,Anthropological Survey of India
Naga Morungs,"Traditional communal houses in Nagaland serving as dormitories for young men, centers for tribal education, and repositories of cultural knowledge.",Nagaland,Architecture,Tribal Structure,Anthropological Survey of India
Thakurani Jatra,"Biennial festival of the Silk Weaver community in Odisha honoring their patron goddess with processions, rituals, and cultural performances.",Odisha,Festival,Community Festival,Anthropological Survey of India
Kaavi Art,Traditional mural art technique from Konkan region using red oxide on wet lime plaster to create religious imagery in temples and homes.,Goa,Art Form,Mural Art,National Crafts Museum
