input ,output,instruction,prompt
Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jaigarh Fort. Day 3: Nahargarh Fort, Jantar Mantar. Day 4: Rambagh Palace, Albert Hall Museum. Day 5: Jal Mahal, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Jaipur.
What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Misal Pav, Dhokla, Modak.","Answer the question truthfully, you are a travel expert.",List popular dishes from Mumbai.
What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Mumbai.
Plan a 5-day itinerary for New Delhi. ,"Day 1: Qutub Minar, Humayun's Tomb. Day 2: Red Fort, Jama Masjid. Day 3: Lotus Temple, India Gate. Day 4: Rashtrapati Bhavan, Parliament House. Day 5: Lodhi Gardens, Safdarjung Tomb.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for New Delhi.
What are the popular dishes in Bangalore?,"Idli, Dosa, Vadai, Sambar, Rasam.","Answer the question truthfully, you are a travel expert.",List popular dishes from Bangalore.
What is the best time to visit Bangalore?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Bangalore.
Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeswarar Temple. Day 2: Mahabalipuram, Kanchipuram. Day 3: Chennai Museum, Guindy National Park. Day 4: Santhome Cathedral, Fort St. George. Day 5: Valluvar Kottam, DakshinaChitra.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Chennai.
What are the popular dishes in Ahmedabad?,"Dhokla, Kadhi, Fafda, Handvo, Jalebi.","Answer the question truthfully, you are a travel expert.",List popular dishes from Ahmedabad.
:ask_what_to_visit_in_kolkata:,"How about visiting the Victoria Memorial, Howrah Bridge, and St. Paul's Cathedral during your stay in Kolkata?","Answer the question truthfully, you are a travel expert.",What are some popular tourist attractions in Kolkata?
:ask_what_to_visit_in_kolkata:,"Visit the Victoria Memorial, Howrah Bridge, and St. Paul's Cathedral for a rich cultural and historical experience in Kolkata.","Answer the question truthfully, you are a travel expert.",Suggest some must-visit places in Kolkata.
:ask_what_to_eat_in_kolkata:,"Try Luchi Aloo Dum, Chingri Malaikari, Mishti Doi, and Rasgulla for authentic Kolkata cuisine.","Answer the question truthfully, you are a travel expert.",What are the popular dishes in Kolkata?
Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Salar Jung Museum. Day 3: Ramoji Film City, Hussain Sagar. Day 4: Nehru Zoological Park, Birla Mandir. Day 5: Falaknuma Palace, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Hyderabad.
What are the popular dishes in Hyderabad?,"Biryani, Haleem, Nihari, Qubani Rooz, Kebabs.","Answer the question truthfully, you are a travel expert.",List popular dishes from Hyderabad.
What is the best time to visit Hyderabad?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Hyderabad.
Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Bandra-Worli Sea Link. Day 3: Juhu Beach, Chowpatty Beach. Day 4: Colaba Causeway Market, Victoria Terminus. Day 5: Haji Ali Dargah, Siddhivinayak Temple.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Mumbai.
What are the popular dishes in Mumbai?,"Vada Pav, Pav Bhaji, Dhokla, Misal Pav, Modak.","Answer the question truthfully, you are a travel expert.",List popular dishes from Mumbai.
What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Mumbai.
Plan a 5-day itinerary for New Delhi. ,"Day 1: Qutub Minar, Humayun's Tomb. Day 2: Red Fort, Jama Masjid. Day 3: Lotus Temple, India Gate. Day 4: Rashtrapati Bhavan, Parliament House. Day 5: Lodhi Gardens, Safdarjung Tomb.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for New Delhi.
What are the popular dishes in New Delhi?,"Butter Chicken, Chole Bhature, Paratha, Rajma Chawal, Dal Makhani.","Answer the question truthfully, you are a travel expert.",List popular dishes from New Delhi.
What is the best time to visit New Delhi?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit New Delhi.
Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Belur Math. Day 3: Dakshineswar Temple, New Market. Day 4: Millennium Park, Eco Park. Day 5: Alipore Zoo, Birla Mandir.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Kolkata.
What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Chingri Malaikari, Mishti Doi, Rasgulla, Jhal Murhi.","Answer the question truthfully, you are a travel expert.",List popular dishes from Kolkata.
What is the best time to visit Kolkata?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Kolkata.
Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeswarar Temple. Day 2: Mahabalipuram, Kanchipuram. Day 3: Chennai Museum, Guindy National Park. Day 4: Santhome Cathedral, Fort St. George. Day 5: Valluvar Kottam, DakshinaChitra.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Chennai.
What are the popular dishes in Chennai?,"Idli, Dosa, Vadai, Rasam, Sambar.","Answer the question truthfully, you are a travel expert.",List popular dishes from Chennai.
What is the best time to visit Chennai?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Chennai.
Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amer Fort, Jaigarh Fort. Day 3: Nahargarh Fort, Jantar Mantar. Day 4: Rambagh Palace, Albert Hall Museum. Day 5: Jal Mahal, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Jaipur.
What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Kachori, Papad Ki Sabzi, Rajasthani Thali.","Answer the question truthfully, you are a travel expert.",List popular dishes from Jaipur.
What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Jaipur.
Plan a 5-day itinerary for Bangalore. ,"Day 1: Cubbon Park, Bangalore Palace. Day 2: ISKCON Temple, Lalbagh Botanical Garden. Day 3: Ulsoor Lake, Visvesvaraya Industrial and Technological Museum. Day 4: Chinnaswamy Stadium, Vidhana Soudha. Day 5: Bull Temple, Bannerghatta National Park.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Bangalore.
What are the popular dishes in Bangalore?,"Idli, Dosa, Vadai, Rasam, Sambar.","Answer the question truthfully, you are a travel expert.",List popular dishes from Bangalore.
What is the best time to visit Bangalore?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Bangalore.
Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Fatehpur Sikri, Itimad-ud-Daulah. Day 3: Mehtab Bagh, Tomb of Mariam-uz-Zamani. Day 4: Akbar's Tomb, Sikandra Fort. Day 5: Dayal Bagh Temple, Taj Nature Walk.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Agra.
Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Chhatrapati Shivaji Terminus. Day 3: Juhu Beach, Haji Ali Dargah. Day 4: Bandra-Worli Sea Link, Bandra Fort. Day 5: Sanjay Gandhi National Park, Kanheri Caves.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Mumbai.
What are the popular dishes in Mumbai?,"Vada Pav, Masala Dosa, Pau Bhaji, Bombay Sandwich, Chaat.","Answer the question truthfully, you are a travel expert.",List popular dishes from Mumbai.
What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Mumbai.
Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Hussain Sagar Lake, Lumbini Park. Day 3: Ramoji Film City, Nehru Zoological Park. Day 4: Golkonda Fort, Qutb Shahi Tombs. Day 5: Salar Jung Museum, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Hyderabad.
What are the popular dishes in Hyderabad?,"Biryani, Haleem, Hyderabadi Dum Biryani, Nizami Kebab, Osmania Biscuits.","Answer the question truthfully, you are a travel expert.",List popular dishes from Hyderabad.
What is the best time to visit Hyderabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Hyderabad.
Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: St. Paul's Cathedral, Belur Math. Day 3: Dakshineswar Temple, New Market. Day 4: Millennium Park, Eco Park. Day 5: Alipore Zoo, Birla Mandir.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Kolkata.
What are the popular dishes in Kolkata?,"Luchi Aloo Dum, Chingri Malaikari, Mishti Doi, Rasgulla, Jhal Murhi.","Answer the question truthfully, you are a travel expert.",List popular dishes from Kolkata.
What is the best time to visit Kolkata?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Kolkata.
Plan a 5-day itinerary for Pune. ,"Day 1: Aga Khan Palace, Sinhagad Fort. Day 2: Shaniwar Wada, Dagduseth Halwai Temple. Day 3: Raja Dinkar Kelkar Museum, Parvati Hill. Day 4: Rajiv Gandhi Zoological Park, Vetal Tekdi. Day 5: Osho Commune International, Mulshi Dam.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Pune.
What are the popular dishes in Pune?,"Puran Poli, Vada Pav, Modak, Masala Dosa, Shengdanyachi Vada.","Answer the question truthfully, you are a travel expert.",List popular dishes from Pune.
What is the best time to visit Pune?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Pune.
Plan a 5-day itinerary for Chandigarh. ,"Day 1: Rock Garden, Sukhna Lake. Day 2: Rose Garden, Sector 17 Plaza. Day 3: Government Museum and Art Gallery, Terraced Garden. Day 4: International Dolls Museum, Leisure Valley. Day 5: Bougainvillea Park, Hibiscus Garden.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Chandigarh.
What are the popular dishes in Chandigarh?,"Chole Bhature, Tandoori Chicken, Rajma Chawal, Chaat, Momos.","Answer the question truthfully, you are a travel expert.",List popular dishes from Chandigarh.
What is the best time to visit Chandigarh?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Chandigarh.
Plan a 5-day itinerary for Ludhiana. ,"Day 1: Gurudwara Nanaksar Jagraon, Ranjit Avenue. Day 2: Maharaja Ranjit Singh Museum, Khanna Lake. Day 3: Jallianwala Bagh, Gurudwara Manji Sahib. Day 4: Kila Raipur, St. Mary's Church. Day 5: Durgiana Temple, Jagraon.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Ludhiana.
What are the popular dishes in Ludhiana?,"Tandoori Chicken, Makki Roti, Sarson Da Saag, Amritsari Kulcha, Lassi.","Answer the question truthfully, you are a travel expert.",List popular dishes from Ludhiana.
What is the best time to visit Ludhiana?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Ludhiana.
Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masajid Mosque, Van Vihar National Park. Day 2: Bhojpur Temple, Lakshmi Narayan Temple. Day 3: Bhimbetka Rock Shelters, Tawa Dam. Day 4: Raisen Fort, Dharwi Waterfall. Day 5: Shaukat Mahal Palace, Tikalgarh Fort.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Bhopal.
What are the popular dishes in Bhopal?,"Bhutte Ka Kees, Bafla, Bhopali Aloo Tikki, Jalebi, Dahi Vada.","Answer the question truthfully, you are a travel expert.",List popular dishes from Bhopal.
What is the best time to visit Bhopal?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Bhopal.
:question: What is the best time to visit Bangalore?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Bangalore.
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Chowmahalla Palace, Charminar. Day 2: Hussain Sagar Lake, Birla Mandir. Day 3: Ramoji Film City, Nehru Zoological Park. Day 4: Chilkur Balaji Temple, Qutub Shahi Tombs. Day 5: Salar Jung Museum, Lumbini Park.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Hyderabad.
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Hyderabadi Marghi, Dosas, Paaya.","Answer the question truthfully, you are a travel expert.",List popular dishes from Hyderabad.
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram Shore Temple, Fort St. George. Day 3: VGP Universal Kingdom, Kanchipuram Silk. Day 4: Aurobindo Ashram, DakshinaChitra. Day 5: Guindy National Park, T Nagar.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Chennai.
:question: What are the popular dishes in Chennai?,"Dosa, Idli, Rasam, Vada, Pongal.","Answer the question truthfully, you are a travel expert.",List popular dishes from Chennai.
:question: What is the best time to visit Chennai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Chennai.
:question: Plan a 5-day itinerary for Mumbai. ,"Day 1: Gateway of India, Marine Drive. Day 2: Elephanta Caves, Chhatrapati Shivaji Terminus. Day 3: Bandra-Worli Sea Link, Haji Ali Dargah. Day 4: Siddhivinayak Temple, Juhu Beach. Day 5: Sanjay Gandhi National Park, Chowpatty Beach.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Mumbai.
:question: What are the popular dishes in Mumbai?,"Vada Pav, Misal Pav, Panipuri, Pav Bhaji, Bhel Puri.","Answer the question truthfully, you are a travel expert.",List popular dishes from Mumbai.
:question: What is the best time to visit Mumbai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Mumbai.
:question: Plan a 5-day itinerary for Kolkata. ,"Day 1: Victoria Memorial, Howrah Bridge. Day 2: Belur Math, Kolkata Zoo. Day 3: St. Paul's Cathedral, South Park Street Cemetery. Day 4: Eden Gardens, Nicco Park. Day 5: Dakshineswar Temple, Mother's Wax Museum.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Kolkata.
:question: What are the popular dishes in Kolkata?,"Luchi, Aloo Dum, Rosogolla, Chholay, Jhal Muri.","Answer the question truthfully, you are a travel expert.",List popular dishes from Kolkata.
:question: What is the best time to visit Kolkata?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Kolkata.
:question: Plan a 5-day itinerary for Delhi. ,"Day 1: Red Fort, Chandni Chowk. Day 2: Humayun's Tomb, Qutub Minar. Day 3: India Gate, Rajpath. Day 4: Lotus Temple, Akshardham Temple. Day 5: Lodhi Garden, Jantar Mantar.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Delhi.
:question: What are the popular dishes in Delhi?,"Chole Bhature, Paratha, Butter Chicken, Aloo Tikki, Rajma Chawal.","Answer the question truthfully, you are a travel expert.",List popular dishes from Delhi.
:question: What is the best time to visit Delhi?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Delhi.
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Albert Hall Museum. Day 4: Nahargarh Fort, Rambagh Palace. Day 5: Birla Mandir, Sisodia Rani Ka Bagh.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Jaipur.
:question: What are the popular dishes in Jaipur?,"Dal Baati Churma, Gatte Ki Sabzi, Ker Sangri, Lal Maas, Ghevar.","Answer the question truthfully, you are a travel expert.",List popular dishes from Jaipur.
:question: What is the best time to visit Jaipur?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Jaipur.
:question: Plan a 5-day itinerary for Agra. ,"Day 1: Taj Mahal, Agra Fort. Day 2: Fatehpur Sikri, Tomb of Itimad-ud-Daulah. Day 3: Mehtab Bagh, Chini Ka Rauza. Day 4: Wildlife SOS, Taj Nature Walk. Day 5: Keetham Lake, Mehtab Bagh.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Agra.
:question: What are the popular dishes in Agra?,"Petha, Tunday Kebab, Paranthas, Dal Makhani, Chaat.","Answer the question truthfully, you are a travel expert.",List popular dishes from Agra.
:question: What is the best time to visit Agra?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Agra.
:question: What is the best time to visit Hyderabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Hyderabad.
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Hussain Sagar Lake, Birla Mandir. Day 3: Golkonda Fort, Salar Jung Museum. Day 4: Ramoji Film City, Nehru Zoological Park. Day 5: Qutub Shahi Tombs, Falaknuma Palace.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Hyderabad.
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Dum Biryani, Nihari, Osmania Biscuits.","Answer the question truthfully, you are a travel expert.",List popular dishes from Hyderabad.
:question: What is the best time to visit Chennai?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Chennai.
:question: Plan a 5-day itinerary for Chennai. ,"Day 1: Marina Beach, Kapaleeshwarar Temple. Day 2: Mahabalipuram, Kanchipuram. Day 3: San Thome Cathedral, Government Museum. Day 4: Vadapalani Temple, Guindy National Park. Day 5: Besant Nagar Beach, DakshinaChitra.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Chennai.
:question: What are the popular dishes in Chennai?,"Idli, Dosa, Sambar, Vada, Pongal.","Answer the question truthfully, you are a travel expert.",List popular dishes from Chennai.
:question: What is the best time to visit Bangalore?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Bangalore.
:question: Plan a 5-day itinerary for Bangalore. ,"Day 1: Bangalore Palace, Lalbagh Botanical Garden. Day 2: Bannerghatta National Park, Vidhana Soudha. Day 3: ISKCON Temple, Cubbon Park. Day 4: Innovative Film City, Nandi Hills. Day 5: Ulsoor Lake, Visvesvaraya Industrial and Technological Museum.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Bangalore.
:question: What are the popular dishes in Bangalore?,"Ragi Dosa, Masala Dosa, Rava Idli, Vada, Dosai.","Answer the question truthfully, you are a travel expert.",List popular dishes from Bangalore.
:question: What is the best time to visit Pune?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Pune.
:question: Plan a 5-day itinerary for Pune. ,"Day 1: Shaniwar Wada, Aga Khan Palace. Day 2: Sinhagad Fort, Osho Ashram. Day 3: Parvati Hill, Dagdusheth Ganapati. Day 4: Raja Dinkar Kelkar Museum, Pataleshwar Cave. Day 5: Khadakwasla Dam, Rajiv Gandhi Zoological Park.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Pune.
:question: What are the popular dishes in Pune?,"Misal Pav, Vada Pav, Pithla Bhakri, Modak, Puran Poli.","Answer the question truthfully, you are a travel expert.",List popular dishes from Pune.
:question: What is the best time to visit Mysore?,"September to March, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Mysore.
:question: Plan a 5-day itinerary for Mysore. ,"Day 1: Mysore Palace, Chamundeshwari Temple. Day 2: St. Philomena's Church, Somanathapura Chennakesava Temple. Day 3: Brindavan Gardens, Srirangapatna. Day 4: Chunchi Falls, Kabini River. Day 5: Karanji Lake, Mysore Zoo.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Mysore.
:question: What are the popular dishes in Mysore?,"Mysore Masala Dosa, Mysore Pak, Ragi Dosa, Vada, Dosai.","Answer the question truthfully, you are a travel expert.",List popular dishes from Mysore.
:question: What is the best time to visit Thiruvananthapuram?,"September to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Thiruvananthapuram.
:question: Plan a 5-day itinerary for Thiruvananthapuram. ,"Day 1: Padmanabhaswamy Temple, Napier Museum. Day 2: Kovalam Beach, Vellayani Lake. Day 3: Shanghumukham Beach, Attukal Bhagavathy Temple. Day 4: Agasthyakoodam, Ponmudi. Day 5: Meenmutty Waterfall, Kuzhikkal Waterfall.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Thiruvananthapuram.
:question: What are the popular dishes in Thiruvananthapuram?,"Appam, Idli, Sadya, Idiyappam, Puttu.","Answer the question truthfully, you are a travel expert.",List popular dishes from Thiruvananthapuram.
:question: What is the best time to visit Kochi?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Kochi.
:question: Plan a 5-day itinerary for Kochi. ,"Day 1: Chinese Fishing Nets, Fort Kochi. Day 2: Mattancherry Palace, Jewish Synagogue. Day 3: Cherai Beach, Mangalavanam Bird Sanctuary. Day 4: Vembanad Lake, Kumarakom. Day 5: St. Francis Church, Bolgatty Palace.",Plan a daily itinerary for the given locations.,Create a 5-day travel plan for Kochi.
:question: What are the popular dishes in Kochi?,"Puttu, Appam, Idli, Dosa, Vattayappam.","Answer the question truthfully, you are a travel expert.",List popular dishes from Kochi.
:question: What is the best time to visit Coimbatore?,"October to February, during the winter season.","Answer the question truthfully, you are a travel expert.",Provide the ideal time to visit Coimbatore.
:question: Plan a 5-day itinerary for Jaipur. ,"Day 1: Hawa Mahal, City Palace. Day 2: Amber Fort, Jaigarh Fort. Day 3: Jantar Mantar, Nahargarh Fort. Day 4: Sisodia Rani Ka Bagh, Galtaji Temple. Day 5: Chokhi Dhani, Birla Mandir.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Jaipur, India."
:question: What are the popular dishes in Jaipur?,"Bajre Ki Roti, Dal Baati Churma, Gatte Ki Sabzi, Lassi, Mirchi Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Jaipur, India."
:question: What is the best time to visit Hyderabad?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Hyderabad, India."
:question: Plan a 5-day itinerary for Hyderabad. ,"Day 1: Charminar, Chowmahalla Palace. Day 2: Golkonda Fort, Qutub Shahi Tombs. Day 3: Salar Jung Museum, Nehru Zoological Park. Day 4: Ramoji Film City, Hussain Sagar. Day 5: Falaknuma Palace, Chilkur Balaji Temple.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Hyderabad, India."
:question: What are the popular dishes in Hyderabad?,"Biryani, Haleem, Dosa, Idli, Vada.","Answer the question truthfully, you are a travel expert.","List popular dishes from Hyderabad, India."
:question: What is the best time to visit Ahmedabad?,"November to February, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Ahmedabad, India."
:question: Plan a 5-day itinerary for Ahmedabad. ,"Day 1: Sabarmati Ashram, Adalaj Stepwell. Day 2: Kankaria Lake, Manek Chowk. Day 3: Sidi Saiyyed Mosque, Sardar Vallabhbhai Patel National Memorial. Day 4: Auto World Vintage Car Museum, Akshardham Temple. Day 5: Kali Temple, Bhadra Fort.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Ahmedabad, India."
:question: What are the popular dishes in Ahmedabad?,"Dhokla, Thepla, Khaman, Undhiyu, Jalebi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Ahmedabad, India."
:question: What is the best time to visit Chandigarh?,"September to November, during the autumn season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Chandigarh, India."
:question: Plan a 5-day itinerary for Chandigarh. ,"Day 1: Rock Garden, Sukhna Lake. Day 2: Rose Garden, Capitol Complex. Day 3: Pinjore Gardens, Leisure Valley. Day 4: International Dolls Museum, Terraced Gardens. Day 5: Timber Trail, Morni Hills.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Chandigarh, India."
:question: What are the popular dishes in Chandigarh?,"Chole Bhature, Tandoori Chicken, Butter Chicken, Paratha, Kulfi.","Answer the question truthfully, you are a travel expert.","List popular dishes from Chandigarh, India."
:question: What is the best time to visit Bhopal?,"October to March, during the winter season.","Answer the question truthfully, you are a travel expert.","Provide the ideal time to visit Bhopal, India."
:question: Plan a 5-day itinerary for Bhopal. ,"Day 1: Taj-ul-Masajid Mosque, Bhojpur Temple. Day 2: Van Vihar National Park, Dhauli Hill. Day 3: Raisen Fort, Tikarghat Dam. Day 4: Bhimbetka Rock Shelters, Chhota Mahal. Day 5: Udayagiri Caves, Sanchi Stupa.",Plan a daily itinerary for the given locations.,"Create a 5-day travel plan for Bhopal, India."
